Updated: 2025-12-03,,,Version 1.4,
Digital Inputs,INPUT:ON:x,"Digital Input: x = number, e.g. 1,2,3,4",,
,INPUT:OFF:X,"Digital Input: x = number, e.g. 1,2,3,4",,
Temperature Sensor,TEMP:LOW,,,
,TEMP:HIGH,,,
PTO,PTO:ON,,,
,PTO:OFF,,,
Other,DIN2_AIN2,Generates after spec DIN2/AIN2 scenario,Teltonika Only,
,MANDOWN:ACTIVE,Unknown use,Teltonika Only,
,MANDOWN:INACTIVE,Unknown use,Teltonika Only,
,INSTANT_MOVE:START,Flag that indicates movement,Teltonika Only,
,INSTANT_MOVE:END,Flag that indicates movement,Teltonika Only,
,FIRST_POSITION,,GoSafe Only,
,HEALTH_CHECK,,GoSafe Only,
,1WIRE,Usually comes with additional data,GoSafe Only,
,BALANCE:LOW,,GoSafe Only,
,SLEEP,Unit in sleep mode,GoSafe + Cathexis,
,STANDBY,Unit in standby mode,Cathexis Only,
,STANDBY:WAKE:DAPI,Wake DAPI On,Cathexis Only,
,STANDBY:ENTER:DAPI,Wake DAPI Off,Cathexis Only,
,STANDBY:WAKE:IMU,Wake IMU On,Cathexis Only,
,STANDBY:ENTER:IMU,Wake IMU Off,Cathexis Only,
,COMBO,Usually have a code that is supplied,GoSafe Only,
,ACCELEROMETER:CALIBRATED,,GoSafe Only,
,DEVICE:REMOVED,,GoSafe Only,
,DEVICE:INSTALLED,,GoSafe Only,
,ARMED:YES,,Teltonika Only,
,GYRO_AXIS,,Teltonika Only,
,RS232,,Teltonika Only,
,CALL:STARTED,Call Started,Cathexis Only,
,CALL:ENDED,Call Ended,Cathexis Only, 
,MOVEMENT:DETECTED,,C-Obd Only,
,MOVEMENT:UNAUTHORIZED,,CalAmp Only,
,RECOVERY_MODE,,DMT Only,
AI Related,AI:TAMPER,AI detected device tampering,Cathexis + Howen,
,AI:LENS_COVERED,AI detected camera lens blocked/covered,Howen Only,
,AI:FATIGUE,AI detected driver fatigue,Cathexis + Howen,
,AI:DISTRACTION,AI detected driver distraction,Cathexis + Howen,
,AI:SEATBELT,AI detected driver not wearing seatbelt,Cathexis + Howen,
,AI:YAWN,AI detected driver yawning,Cathexis + Howen,
,AI:CELLPHONE,AI detected driver using cellphone,Cathexis + Howen,
,AI:PASSENGER,AI detected a passenger,Cathexis + Howen,
,AI:NO_DRIVER,AI detected the driver was not detected,Howen Only,
,AI:SMOKING,AI detected Smoking,Cathexis + Howen,
Howen Proposed,AI:BLINDSPOT,Blindspot warning event (Howen ADAS alarm types 96-107),Howen Only (Proposed / untested),
,AI:BLINDSPOT:LEFT,Blindspot warning on left side (derived from detail payload),Howen Only (Proposed / untested),
,AI:BLINDSPOT:RIGHT,Blindspot warning on right side (derived from detail payload),Howen Only (Proposed / untested),
,AI:LANE_DEPARTURE,Lane departure warning (Howen ADAS alarm types 2/19/20),Howen Only (Proposed / untested),
,AI:TRAFFIC_SIGN:VIOLATION,Traffic sign violation warning (Howen ADAS alarm type 6),Howen Only (Proposed / untested),
,AI:DRIVER:ABNORMAL,Driver abnormal warning (Howen ADAS alarm type 37),Howen Only (Proposed / untested),
,AI:DRIVER:CHANGE,Driver change event (Howen ADAS alarm types 49/72),Howen Only (Proposed / untested),
,AI:EYES_DETECTION_FAILED,Driver eyes detection failed / glasses or obscured eyes (Howen ADAS alarm type 80),Howen Only (Proposed / tested),
,AI:DRIVER:MASK,Driver mask event (Howen ADAS alarm type 85),Howen Only (Proposed / untested),
,AI:EYES_CLOSED,Driver eyes-closed event (Howen DSM alarm type 65),Howen Only (Proposed / tested),
,AI:EYES_CLOSED:CRITICAL,Driver eyes-closed critical event (Howen subtype 39, inferred from live media packets),Howen Only (Proposed / tested),
,AI:YAWN:CRITICAL,Driver yawn critical event (Howen subtype 40, inferred from live media packets),Howen Only (Proposed / tested),
,DEVICE:WAKEUP,Device wakeup event (Howen service data event 59),Howen Only (Proposed / untested),
,MESSAGE:BUFFERED,Buffered/blackbox message event (Howen service data event 22),Howen Only (Proposed / untested),
,SPEED:LOW,Low-speed event (Howen service data event 26),Howen Only (Proposed / untested),
,WATER:FLOW,Water flow event family (Howen service data event 773),Howen Only (Proposed / untested),
