Event Name,,Event Code,,,Howen Product Models (Y: Yes/Supported;  Blank: not supported),,,,,,,,,,,,,
Main type,Sub type,  H-Protocol,,VSS API,MC series,ME series,,,,,,,,,MA series,,,
,,"Main code
(ec)","Sub Code
,11--The disk has not recorded for a long time: no recording has been written for more than 2 minutes,,st=11,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,"12--The disk is written slowly, causing the cached data to be overwritten",,st=12,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,13-Video partition abnormality (cannot read or write normally alarm),,st=13,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,
,14- Disk temperature alarm (high 70 degrees low 0 degrees alarm),,st=14,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,Y,Y,
Overtime driving (fatigue),,17,,17,,Y,,,,,,,,,,,,
fuel consumption abnormal ,Refuel,18,dt=1,210,,Y,,,,,,,,,Y,Y,Y,Y
,Fuel theft,,dt=2,211,,Y,,,,,,,,,Y,Y,Y,Y
Abnormal Fuel Level,,,,18,,,,,,,,,,,,,,
ACC Off,,19,,19,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
GPS module abnormal ,,20,,20,,Y,,,,,,,,,Y,Y,Y,Y
front panel open ,,21,,21,,Y,,,,,,,,,,,,
Swipe card,Driver swipe card,22,tp=1,22,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,Student swipe card,,tp=2,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,invalid card,,tp=3,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
IBUTTON,,23,,23,,Y,,,,,,Y,Y,,Y,Y,Y,Y
Harsh acceleration,,24,,24,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Harsh braking,,25,,25,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Low speed warning,,26,,26,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
High speed warning,,27,,27,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Voltage alarm,1-low voltage,28,dt=1,230,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,2-high voltage,,dt=2,231,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,3-Power off,,dt=3,232,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,4-Power on,,dt=4,233,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,5-Suspicious disconnection,,dt=5,234,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,6-Abnormal Shutdown,,dt=6,235,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,7-Start up,,dt=7,236,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
People counting,,29,,29,,Y,,,,,,,,,Y,Y,Y,Y
ADAS,LDW Lane departure warning #1,30,tp=2,102,,Y,Y,Y,Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y,Y(accessory),Y,Y,Y,Y
,HMW Front vehicle distance is too close #2,,tp=3,103,Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory)
,PCW Pedestrian collision warning #1,,tp=4,104,Y,Y,Y,Y,Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y,Y(accessory),Y,Y,Y,Y
,Road sigh violation alarm #2,,tp=6,106,Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory)
,Front Vehicle Start #1,,tp=7,107,,,,,Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y,Y(accessory),Y,Y,Y,Y
,Safe distance #2,,tp=9,100,Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory)
,Road sign recognition incident #1,,tp=16,109,,,,,,,,,,,,,,
,FCW Forward collision warning #1,,tp=17,110,Y,Y,Y,Y,Y(accessory),Y,Y,Y,Y,Y(accessory),Y,Y,Y,Y
,HMW Front vehicle distance is too close #1,,tp=18,111,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,Y
DMS,Fatigue driving #1,,tp=33,115,Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y,Y,Y,Y
,Calling #1,,tp=34,116,Y,Y,Y,Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y,Y(accessory),Y,Y,Y,Y
,Smoking #1,,tp=35,117,Y,Y,Y,Y,Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y,Y(accessory),Y,Y,Y,Y
,Distracted driving #2,,tp=36,118,Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory)
,Driver abnormal #2,,tp=37,119,Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y(accessory)
,Co-driver detection,,tp=41,259,,,,Y(Customize),,,,,,,,,,
,Driver Change/Shift,,tp=49,120,Y,Y,Y,Y,,,,,Y,,Y,Y,Y,Y
,Eyes closing #1,,tp=65,121,Y,Y,Y,Y,,,,,Y,,Y,Y,Y,Y
,Yawning #1,,tp=66,122,Y,Y,Y,Y,Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y,Y(accessory),Y,Y,Y,Y
,Camera cover #1,,tp=67,123,Y,Y,Y,Y,Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y,Y(accessory),Y,Y,Y,Y
,Distracted driving (glance right and left) #1,,tp=68,124,Y,Y,Y,Y,,,,,Y,,Y,Y,Y,Y
,Not wearing a seat belt #1,,tp=69,125,Y,Y,Y,Y,,,,,Y,,Y,Y,Y,Y
,Driver leave duty #1,,tp=70,126,Y,Y,Y,Y,Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y,Y(accessory),Y,Y,Y,Y
,Drinking water,,tp=71,127,Y,,Y,Y,,,,,Y,,Y,Y,Y,Y
,Driver returns #1,,tp=73,129,Y,Y,Y,Y,Y(accessory),Y(accessory),Y(accessory),Y(accessory),Y,Y(accessory),Y,Y,Y,Y
,Infrared sunglasses #1,,tp=80,130,Y,Y,Y,Y,,,,,Y,,Y,Y,Y,Y
,Driver authentication  succeeded #1,,tp=81,131,Y,Y,Y,Y,,,,,Y,,Y,Y,Y,Y
,Driver authentication failed #1,,tp=82,132,Y,Y,Y,Y,,,,,Y,,Y,Y,Y,Y
,Mask not worn,,tp=85,134,,,,,,,,,,,Y,Y,Y,Y
,Eating,,tp=87,,,,,,,,,,,,,,,
,Frequent drowsiness (multiple nodding),,tp=88,,,,,,,,,,,,,,,
,Frequent yawning (multiple yawning),,tp=89,,,,,,,,,,,,,,,
,Prolonged yawning (prolonged yawning),,tp=90,,,,,,,,,,,,,,,
,Frequent blinking (multiple blinking),,tp=91,,,,,,,,,,,,,,,
,Prolonged blinking (prolonged blinking),,tp=92,,,,,,,,,,,,,,,
,Level 1 Slightly closed eyes,,tp=93,,,,,,,,,,,,,,,
,Level 2 Slightly closed eyes,,tp=94,,,,,,,,,,,,,,,
,Severe Eye Closure,,,147,,,,,,,,,,,,,,
,Severe Yawning,,,148,,,,,,,,,,,,,,
BSD,BSD1 Level 1,,tp=96,135,,Y,,,,,,,,,Y(T23050902),Y(T23050902),Y(T23050902),Y
,BSD1 Level 2,,tp=97,136,,Y,,,,,,,,,Y(T23050902),Y(T23050902),Y(T23050902),Y
,BSD1 Level 3,,tp=98,137,,Y,,,,,,,,,Y(T23050902),Y(T23050902),Y(T23050902),Y
,BSD2 Level 1,,tp=99,138,,Y,,,,,,,,,Y(T23050902),Y(T23050902),Y(T23050902),Y
,BSD2 Level 2,,tp=100,139,,Y,,,,,,,,,Y(T23050902),Y(T23050902),Y(T23050902),Y
,BSD2 Level 3,,tp=101,140,,Y,,,,,,,,,Y(T23050902),Y(T23050902),Y(T23050902),Y
,BSD3 Level 1,,tp=102,141,,Y,,,,,,,,,,,,
,BSD3 Level 2,,tp=103,142,,Y,,,,,,,,,,,,
,BSD3 Level 3,,tp=104,143,,Y,,,,,,,,,,,,
,BSD4 Level 1,,tp=105,144,,Y,,,,,,,,,,,,
,BSD4 Level 2,,tp=106,145,,Y,,,,,,,,,,,,
,BSD4 Level 3,,tp=107,146,,Y,,,,,,,,,,,,
Acc on (Report once at boot,,31,,31,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
idle,,32,,32,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Gps antenna break,,33,,33,,Y,,,,,,,,,,Y (project custom),,Y
Gps antenna short,,34,,34,,Y,,,,,,,,,,Y (project custom),,Y
IO output,Output 1,35,ch=1,228,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,Output 2,,ch=2,229,,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y
CANBUS connection abnormal,,36,,36,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Towing,,37,,37,,,,,,,,,,,Y,Y,Y,Y
Free wheeling,,38,,38,,,,,,,,,,,Y,Y,Y,Y
RPM exceeds,,39,,39,,,,,,,,,,,Y,Y,Y,Y
Vehicle Move,,40,,40,,,,,,,,,,,Y,Y,Y,Y
Trip start（st/et/dtu time same）,,41,,41,,Y,,,,,,,,,Y,Y,Y,Y
In trip,,42,,42,,Y,,,,,,,,,Y,Y,Y,Y
Trip ends (periodically report after acc off),,43,,43,,Y,,,,,,,,,Y,Y,Y,Y
GPS location recover,,44,,44,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,Y
Video abnormal,,45,,45,,Y,,,,,,,,,,,,
None trip position (report periodically after trip ends),,46,,46,,Y,,,,,,,,,Y,Y,Y,Y
"Main unit anomly (Device not connected for long time, periodical alarms)",,47,,47,,,,,,,,,,,,,,
Excessive overspeed,,48,,48,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Load alarm,,49,,49,,Y,Y,Y,,,Y,Y,Y,,,,,
SIM Card Lost,,50,,50,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,
Tracker seat belt alarm,,51,,51,,,,,,,,,,,,,,
Tracker harsh acceleration,,52,,52,,,,,,,,,,,,,,
Tracker harsh braking,,53,,53,,,,,,,,,,,,,,
Tracker overspeed,,54,,54,,,,,,,,,,,,,,
Tracker excessive overspeed,,55,,55,,,,,,,,,,,,,,
Tracker panel open,,56,,56,,,,,,,,,,,,,,
Roaming Mode start,,57,,57,,Y,,,,,,,,,,,,
Roaming Mode end,,58,,58,,Y,,,,,,,,,,,,
Wake up event,,59,,59,,Y,,,,,,,,,,,,
Satellite Modem status,,60,,60,,Y,,,,,,,,,,,,
Alcohol detection alarm,,61,,61,,Y,,,,,,,,,,,,
Total driving time exceeded,,62,,62,,,,,,,,,,,,,,
(Tracker) RPM too high,,63,,63,,,,,,,,,,,,,,
(Tracker) impact,,64,,64,,,,,,,,,,,,,,
(Tracker) traction,,65,,65,,,,,,,,,,,,,,
(Tracker) false disconnection,,66,,66,,,,,,,,,,,,,,
(Tracker) displacement,,67,,67,,,,,,,,,,,,,,
(Tracker) idling,,68,,68,,,,,,,,,,,,,,
(Tracker) rollover,,69,,69,,,,,,,,,,,,,,
(Tracker) emergency warning,,70,,70,,,,,,,,,,,,,,
(Tracker) harsh cornering,,71,,71,,,,,,,,,,,,,,
Unbelted right rear seatbelt,,72,,,,,,,,,,,,,,,,
Unbelted middle rear seatbelt,,73,,,,,,,,,,,,,,,,
Unbelted left rear seatbelt,,74,,,,,,,,,,,,,,,,
DLT card not swiped,,75,,,,,,,,,,,,,,,,
GPS signal interfered,,76,,76,,,,,,,,,,,,,,
AI camera installation self-check abormal,,78,,78,,,,,,,,,,,,,,
AI Watch abnormal,,79,,79,,,,,,,,,,,,,,
ADAS auto calibrate,,80,,,,,,,,,,,,,,,,
Trip notification,,768,,768,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Tire pressure notification,,769,,769,,Y(accessory) ,Y(accessory) ,Y(accessory) ,Y(accessory) ,Y(accessory) ,Y(accessory) ,Y(accessory) ,Y(accessory) ,Y(accessory) ,Y(accessory) ,Y(accessory) ,Y(accessory) ,Y(accessory) 
Disk detection alarm,,770,,770,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Datahub status notification,,771,,,,,,,,,,,,,,,,
Device self-check notification,,772,,,,,,,,,,,,,,,,
"Alarm files (.jpg, video in invisible partition .avi) can be played back online",,1280,,,,,,,,,,,,,,,,
Timed snapshots,,1281,,,,,,,,,,,,,,,,
"Alarm-linked short videos (.jgp, video in visible partition .mp4), cannot be played back online",,1282,,,,,,,,,,,,,,,,
Platform Virtual alarm,Vehicel long time offline,,,11003,,,,,,,,,,,,,,
,Tranmission break,,,11004,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Remark:,,,,,,,,,,,,,,,,,,
1),"The compliance of alarm types for product models, might change by time, update of table might be with delay",,,,,,,,,,,,,,,,,
2),"Alarm types with grey background: are not completed yet, or for specific accessories. For 1st phase integration, we suggest to ignore. ",,,,,,,,,,,,,,,,,
3),"19 ACC Off: compatible with old firmwares. In old firmwares: During ACC-off delay, if ignites (et > st), will report “accoff ends”; in new firmware: During ACC-off delay, if ignites (et > st), will report “accon”)",,,,,,,,,,,,,,,,,
